, DAL, NYL, IND, CON, PHO, MIN, LAS, ATL, SEA, LVA, CHI, WAS
DAL, 0, 1370, 760, 1460, 870, 860, 1240, 720, 1670, 1050, 800, 1180
NYL, 1370, 0, 650, 100, 2140, 1200, 2450, 750, 2420, 2240, 710, 210
IND, 760, 650, 0, 700, 1600, 600, 1900, 420, 1860, 1630, 180, 500
CON, 1460, 100, 700, 0, 2220, 1280, 2530, 810, 2490, 2320, 780, 300
PHO, 870, 2140, 1600, 2220, 0, 1270, 370, 1600, 1100, 260, 1430, 2040
MIN, 860, 1200, 600, 1280, 1270, 0, 1500, 910, 1420, 1280, 335, 1050
LAS, 1240, 2450, 1900, 2530, 370, 1500, 0, 1940, 960, 230, 1740, 2300
ATL, 720, 750, 420, 810, 1600, 910, 1940, 0, 2180, 1740, 590, 540
SEA, 1670, 2420, 1860, 2490, 1100, 1420, 960, 2180, 0, 870, 1730, 2330
LVA, 1050, 2240, 1630, 2320, 260, 1280, 230, 1740, 870, 0, 1520, 2140
CHI, 800, 710, 180, 780, 1430, 335, 1740, 590, 1730, 1520, 0, 590
WAS, 1180, 210, 500, 300, 2040, 1050, 2300, 540, 2330, 2140, 590, 0
